2023-11-30 19:06:24,245 [INFO] model: convnext_tiny
logger_name: convnext_tiny--2023-11-30--epoch50--ver2.log
weights: convnext_tiny--2023-11-30--epoch50--ver2.ptconfig:
	batch_size: 32
	epochs: 50
	lr: 0.0001
	optimizer: adam
	use_labelsmooth_loss: False
2023-11-30 19:06:31,440 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3437658548355103	
2023-11-30 19:06:31,627 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.544493556022644	
2023-11-30 19:06:31,822 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.441951870918274	
2023-11-30 19:06:32,012 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4794206619262695	
2023-11-30 19:06:32,202 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4753175973892212	
2023-11-30 19:06:32,390 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5979617834091187	
2023-11-30 19:06:32,581 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6949496269226074	
2023-11-30 19:06:32,767 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5080671310424805	
2023-11-30 19:06:32,953 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3953484296798706	
2023-11-30 19:06:33,144 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3672207593917847	
2023-11-30 19:06:33,334 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5429469347000122	
2023-11-30 19:06:33,522 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5383952856063843	
2023-11-30 19:06:33,715 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6662402153015137	
2023-11-30 19:06:33,908 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3877935409545898	
2023-11-30 19:06:34,109 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.482852578163147	
2023-11-30 19:06:34,301 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.547895073890686	
2023-11-30 19:06:34,488 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4140048027038574	
2023-11-30 19:06:34,674 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4593933820724487	
2023-11-30 19:06:34,861 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.446092128753662	
2023-11-30 19:06:35,052 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.8129513263702393	
2023-11-30 19:06:35,255 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4799911975860596	
2023-11-30 19:06:35,449 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5413949489593506	
2023-11-30 19:06:35,635 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.507625699043274	
2023-11-30 19:06:35,819 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5596312284469604	
2023-11-30 19:06:36,004 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.7256075143814087	
2023-11-30 19:06:36,193 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.47022545337677	
2023-11-30 19:06:36,390 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4325339794158936	
2023-11-30 19:06:36,589 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.491950273513794	
2023-11-30 19:06:36,783 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3678542375564575	
2023-11-30 19:06:36,973 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3935602903366089	
2023-11-30 19:06:37,158 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4038677215576172	
2023-11-30 19:06:37,344 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3266468048095703	
2023-11-30 19:06:37,529 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3915045261383057	
2023-11-30 19:06:37,724 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3609083890914917	
2023-11-30 19:06:37,916 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4238046407699585	
2023-11-30 19:06:38,103 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6797953844070435	
2023-11-30 19:06:38,294 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.686415672302246	
2023-11-30 19:06:38,493 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4713261127471924	
2023-11-30 19:06:38,685 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6694974899291992	
2023-11-30 19:06:38,879 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4377042055130005	
2023-11-30 19:06:39,074 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3661856651306152	
2023-11-30 19:06:39,269 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5266813039779663	
2023-11-30 19:06:39,467 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6563489437103271	
2023-11-30 19:06:39,659 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2849310636520386	
2023-11-30 19:06:39,845 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4382517337799072	
2023-11-30 19:06:40,033 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5078331232070923	
2023-11-30 19:06:40,230 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4531296491622925	
2023-11-30 19:06:40,424 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.7360137701034546	
2023-11-30 19:06:40,615 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3845409154891968	
2023-11-30 19:06:40,805 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3725906610488892	
2023-11-30 19:06:40,993 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.351418375968933	
2023-11-30 19:06:41,188 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.611881971359253	
2023-11-30 19:06:41,379 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.562956690788269	
2023-11-30 19:06:41,574 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5171773433685303	
2023-11-30 19:06:41,774 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3169203996658325	
2023-11-30 19:06:41,972 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5000569820404053	
2023-11-30 19:06:42,174 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4048871994018555	
2023-11-30 19:06:42,378 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.382362961769104	
2023-11-30 19:06:42,575 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4141418933868408	
2023-11-30 19:06:42,774 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5983970165252686	
2023-11-30 19:06:42,969 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4037063121795654	
2023-11-30 19:06:43,164 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4484771490097046	
2023-11-30 19:06:43,358 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3385728597640991	
2023-11-30 19:06:43,552 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.403937578201294	
2023-11-30 19:06:43,748 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3240256309509277	
2023-11-30 19:06:43,945 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4431469440460205	
2023-11-30 19:06:44,144 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4272630214691162	
2023-11-30 19:06:44,360 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4140135049819946	
2023-11-30 19:06:44,560 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5078452825546265	
2023-11-30 19:06:44,761 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5475722551345825	
2023-11-30 19:06:44,962 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3890845775604248	
2023-11-30 19:06:45,165 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4577374458312988	
2023-11-30 19:06:45,359 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2812538146972656	
2023-11-30 19:06:45,551 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4534927606582642	
2023-11-30 19:06:45,750 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2833269834518433	
2023-11-30 19:06:45,950 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5855751037597656	
2023-11-30 19:06:46,150 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5696628093719482	
2023-11-30 19:06:46,346 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4644042253494263	
2023-11-30 19:06:46,544 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6693427562713623	
2023-11-30 19:06:46,742 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.382561206817627	
2023-11-30 19:06:46,936 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5206332206726074	
2023-11-30 19:06:47,134 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3141489028930664	
2023-11-30 19:06:47,332 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4141576290130615	
2023-11-30 19:06:47,533 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3832703828811646	
2023-11-30 19:06:47,735 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.483389139175415	
2023-11-30 19:06:47,929 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3309129476547241	
2023-11-30 19:06:48,124 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3800710439682007	
2023-11-30 19:06:48,320 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4185277223587036	
2023-11-30 19:06:48,515 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3943558931350708	
2023-11-30 19:06:48,710 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.400030255317688	
2023-11-30 19:06:48,903 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3732774257659912	
2023-11-30 19:06:49,093 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2178847789764404	
2023-11-30 19:06:49,294 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4332513809204102	
2023-11-30 19:06:49,499 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4143340587615967	
2023-11-30 19:06:49,695 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4873532056808472	
2023-11-30 19:06:49,892 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3394005298614502	
2023-11-30 19:06:50,104 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3631868362426758	
2023-11-30 19:06:50,359 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.378477931022644	
2023-11-30 19:06:50,667 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6144784688949585	
2023-11-30 19:06:50,963 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.632521390914917	
2023-11-30 19:06:51,240 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5651051998138428	
2023-11-30 19:06:51,529 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3764253854751587	
2023-11-30 19:06:51,799 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4779553413391113	
2023-11-30 19:06:52,099 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5428071022033691	
2023-11-30 19:06:52,403 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4938968420028687	
2023-11-30 19:06:52,705 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4779911041259766	
2023-11-30 19:06:53,020 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.389336347579956	
2023-11-30 19:06:53,319 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4763047695159912	
2023-11-30 19:06:53,593 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.638459324836731	
2023-11-30 19:06:53,896 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2082717418670654	
2023-11-30 19:06:54,189 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3358484506607056	
2023-11-30 19:06:54,492 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4965676069259644	
2023-11-30 19:06:54,793 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4705153703689575	
2023-11-30 19:06:55,094 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3038051128387451	
2023-11-30 19:06:55,403 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6530834436416626	
2023-11-30 19:06:55,704 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.452717900276184	
2023-11-30 19:06:56,000 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5430583953857422	
2023-11-30 19:06:56,293 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5433627367019653	
2023-11-30 19:06:56,585 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5339903831481934	
2023-11-30 19:06:56,872 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4445486068725586	
2023-11-30 19:06:57,176 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3844764232635498	
2023-11-30 19:06:57,456 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.407116174697876	
2023-11-30 19:06:57,749 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4065629243850708	
2023-11-30 19:06:58,056 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3106223344802856	
2023-11-30 19:06:58,354 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.623311161994934	
2023-11-30 19:06:58,637 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5019861459732056	
2023-11-30 19:06:58,941 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.414502501487732	
2023-11-30 19:06:59,234 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5333408117294312	
2023-11-30 19:06:59,518 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2854163646697998	
2023-11-30 19:06:59,810 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2968165874481201	
2023-11-30 19:07:00,096 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3115428686141968	
2023-11-30 19:07:00,376 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3889926671981812	
2023-11-30 19:07:00,671 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.405292272567749	
2023-11-30 19:07:00,921 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2803235054016113	
2023-11-30 19:07:01,173 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3868634700775146	
2023-11-30 19:07:01,425 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5455336570739746	
2023-11-30 19:07:01,674 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3201582431793213	
2023-11-30 19:07:01,923 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.257452368736267	
2023-11-30 19:07:02,180 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.444339632987976	
2023-11-30 19:07:02,482 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2415580749511719	
2023-11-30 19:07:02,785 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2404729127883911	
2023-11-30 19:07:03,083 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3001494407653809	
2023-11-30 19:07:03,362 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.366681694984436	
2023-11-30 19:07:03,665 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.457127571105957	
2023-11-30 19:07:03,922 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3607081174850464	
2023-11-30 19:07:04,175 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.347400188446045	
2023-11-30 19:07:04,460 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4920157194137573	
2023-11-30 19:07:04,762 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2173978090286255	
2023-11-30 19:07:05,072 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.1666665077209473	
2023-11-30 19:07:05,336 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.457081913948059	
2023-11-30 19:07:05,585 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.302872896194458	
2023-11-30 19:07:05,837 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.499224305152893	
2023-11-30 19:07:06,120 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.31395423412323	
2023-11-30 19:07:06,423 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3539103269577026	
2023-11-30 19:07:06,736 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.334825873374939	
2023-11-30 19:07:07,039 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6286109685897827	
2023-11-30 19:07:07,341 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5472280979156494	
2023-11-30 19:07:07,640 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.539452075958252	
2023-11-30 19:07:07,940 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5695054531097412	
2023-11-30 19:07:08,239 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3945610523223877	
2023-11-30 19:07:08,539 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.8205894231796265	
2023-11-30 19:07:08,847 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.260419249534607	
2023-11-30 19:07:09,146 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.702091932296753	
2023-11-30 19:07:09,449 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4865193367004395	
2023-11-30 19:07:09,761 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.1313056945800781	
2023-11-30 19:07:10,076 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2904149293899536	
2023-11-30 19:07:10,380 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.465628743171692	
2023-11-30 19:07:10,682 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3491442203521729	
2023-11-30 19:07:10,984 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.382331132888794	
2023-11-30 19:07:11,261 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4308866262435913	
2023-11-30 19:07:11,510 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.7072888612747192	
2023-11-30 19:07:11,762 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4738273620605469	
2023-11-30 19:07:12,016 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4959889650344849	
2023-11-30 19:07:12,287 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4444643259048462	
2023-11-30 19:07:12,590 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3423068523406982	
2023-11-30 19:07:12,884 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4829744100570679	
2023-11-30 19:07:13,159 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.584546446800232	
2023-11-30 19:07:13,410 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.155426025390625	
2023-11-30 19:07:13,664 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.4327869415283203	
2023-11-30 19:07:13,951 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2862908840179443	
2023-11-30 19:07:14,216 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.2152371406555176	
2023-11-30 19:07:14,485 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3766103982925415	
2023-11-30 19:07:14,777 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.1439188718795776	
2023-11-30 19:07:15,066 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.3756145238876343	
2023-11-30 19:07:15,337 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.581851601600647	
2023-11-30 19:07:15,575 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.118977427482605	
2023-11-30 19:07:18,056 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4062,	Val Balanced Accuracy: 0.2900	Val Timm Acc: 40.6250
2023-11-30 19:07:18,080 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.3750,	Val Balanced Accuracy: 0.1692	Val Timm Acc: 34.3750
2023-11-30 19:07:18,104 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4062,	Val Balanced Accuracy: 0.4444	Val Timm Acc: 46.8750
2023-11-30 19:07:18,128 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4219,	Val Balanced Accuracy: 0.3563	Val Timm Acc: 46.8750
2023-11-30 19:07:18,150 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4313,	Val Balanced Accuracy: 0.3099	Val Timm Acc: 46.8750
2023-11-30 19:07:18,172 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4271,	Val Balanced Accuracy: 0.2286	Val Timm Acc: 40.6250
2023-11-30 19:07:18,193 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4375,	Val Balanced Accuracy: 0.3200	Val Timm Acc: 50.0000
2023-11-30 19:07:18,215 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4414,	Val Balanced Accuracy: 0.2667	Val Timm Acc: 46.8750
2023-11-30 19:07:18,237 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4479,	Val Balanced Accuracy: 0.2875	Val Timm Acc: 50.0000
2023-11-30 19:07:18,258 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4313,	Val Balanced Accuracy: 0.1944	Val Timm Acc: 28.1250
2023-11-30 19:07:18,279 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4460,	Val Balanced Accuracy: 0.3067	Val Timm Acc: 59.3750
2023-11-30 19:07:18,299 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4479,	Val Balanced Accuracy: 0.3418	Val Timm Acc: 46.8750
2023-11-30 19:07:18,321 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4567,	Val Balanced Accuracy: 0.2250	Val Timm Acc: 56.2500
2023-11-30 19:07:18,342 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4643,	Val Balanced Accuracy: 0.1800	Val Timm Acc: 56.2500
2023-11-30 19:07:18,362 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4729,	Val Balanced Accuracy: 0.3542	Val Timm Acc: 59.3750
2023-11-30 19:07:18,385 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4785,	Val Balanced Accuracy: 0.3675	Val Timm Acc: 56.2500
2023-11-30 19:07:18,405 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4779,	Val Balanced Accuracy: 0.2367	Val Timm Acc: 46.8750
2023-11-30 19:07:18,426 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4705,	Val Balanced Accuracy: 0.2383	Val Timm Acc: 34.3750
2023-11-30 19:07:18,446 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4786,	Val Balanced Accuracy: 0.4278	Val Timm Acc: 62.5000
2023-11-30 19:07:18,471 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4797,	Val Balanced Accuracy: 0.2917	Val Timm Acc: 50.0000
2023-11-30 19:07:18,492 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4777,	Val Balanced Accuracy: 0.1915	Val Timm Acc: 43.7500
2023-11-30 19:07:18,513 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4730,	Val Balanced Accuracy: 0.3210	Val Timm Acc: 37.5000
2023-11-30 19:07:18,533 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4769,	Val Balanced Accuracy: 0.3000	Val Timm Acc: 56.2500
2023-11-30 19:07:18,560 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4753,	Val Balanced Accuracy: 0.2733	Val Timm Acc: 43.7500
2023-11-30 19:07:18,580 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4725,	Val Balanced Accuracy: 0.2786	Val Timm Acc: 40.6250
2023-11-30 19:07:18,604 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4796,	Val Balanced Accuracy: 0.2500	Val Timm Acc: 65.6250
2023-11-30 19:07:18,625 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4815,	Val Balanced Accuracy: 0.3000	Val Timm Acc: 53.1250
2023-11-30 19:07:18,645 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4866,	Val Balanced Accuracy: 0.4133	Val Timm Acc: 62.5000
2023-11-30 19:07:18,667 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4795,	Val Balanced Accuracy: 0.2200	Val Timm Acc: 28.1250
2023-11-30 19:07:18,688 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4781,	Val Balanced Accuracy: 0.2400	Val Timm Acc: 43.7500
2023-11-30 19:07:18,709 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4778,	Val Balanced Accuracy: 0.3068	Val Timm Acc: 46.8750
2023-11-30 19:07:18,733 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4756,	Val Balanced Accuracy: 0.3730	Val Timm Acc: 40.6250
2023-11-30 19:07:18,754 [INFO] Val:Epoch: [0 / 50, 	Val Accuracy: 0.4763,	Val Balanced Accuracy: 0.2533	Val Timm Acc: 50.0000
